label,median_s,p95_s,input_tokens,output_tokens,reasoning_tokens
openai:gpt-5.6-terra:medium,2.698,4.44015,426.96666666666664,32.153333333333336,0.0
openai:gpt-5.6-terra:high,2.7495000000000003,5.060250000000001,426.96666666666664,32.413333333333334,0.23333333333333334
openai:gpt-5.6-sol:low,2.7275,7.610800000000001,426.96666666666664,32.12,0.0
openai:gpt-6-astra:high,3.5069999999999997,6.59405,426.96666666666664,49.71666666666667,17.163333333333334
openai:gpt-6-astra:medium,3.104,5.4121000000000015,426.96666666666664,36.48,4.64
openai:gpt-5.6-sol:high,3.0,7.823850000000004,426.96666666666664,35.54333333333334,3.29
openai:gpt-5.6-luna:medium,2.2915,4.022000000000001,426.96666666666664,32.04,0.12
openai:gpt-5.6-sol:medium,2.9255,7.919650000000001,426.96666666666664,32.86666666666667,0.72
openai:gpt-5.6-luna:high,2.3209999999999997,4.435250000000007,426.96666666666664,35.78333333333333,3.776666666666667
openai:gpt-6-astra:low,3.1145,5.391200000000002,426.96666666666664,34.58,2.993333333333333
openai:gpt-5.6-terra:low,2.7904999999999998,5.014800000000002,426.96666666666664,32.153333333333336,0.0
jev:jev:-,0.6265000000000001,0.74905,515.2166666666667,87.13333333333334,
nim:z-ai/glm-5.3-flash:default,19.936500000000002,74.08769999999988,305.18791946308727,325.62080536912754,
openai:gpt-5.6-luna:low,2.2915,4.1240499999999995,426.96666666666664,31.886666666666667,0.0
nim:nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:think_on,9.906,21.528,301.3421052631579,351.2518796992481,
nim:nvidia/nemotron-3-ultra-550b-a55b:think_on,11.943,61.23625,301.4662162162162,166.84459459459458,
